text,label,score,all_labels,all_scores,text_short
"Die renommierte Science Based Targets Initiative (SBTi) hat bestätigt, dass unser Unternehmen mit dieser Zielsetzung für die Produktionsphase (Scope 1 und 2) die Voraussetzungen erfüllt, mit dazu beizutragen, die Erderwärmung auf 1,5 Grad Celsius zu begrenzen. Das Ziel, die CO2-Emissionen in der Nutzungsphase (Scope 3) um 30 Prozent zu reduzieren, ist durch SBTi als konform mit der Begrenzung der Erderwärmung auf 2 Grad bestätigt worden. Dieses Zeugnis ist ein Ansporn.",vage Behauptung,0.6143588423728943,"['vage Behauptung', 'konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage']","[0.6143588423728943, 0.2403576821088791, 0.14528343081474304]","Die renommierte Science Based Targets Initiative (SBTi) hat bestätigt, dass unser Unternehmen mit dieser Zielsetzung für die Produktionsphase (Scope 1"
"Dies zielt durchaus auch auf den unternehme rischen Erfolg ab. Denn Arbeitgeberattraktivität ist längst keine reine Frage des Gehalts mehr. Talente bewerten bei potenziellen Arbeitgebern genauso Faktoren wie Flexibilität, Vereinbarkeit von Privatleben und Beruf, Diversität sowie soziale Leistungen und Eigenverantwortung. Was bedeuten diese Veränderungen für den Volkswagen Konzern?",fragwürdige Nachhaltigkeitsaussage,0.5228215456008911,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.5228215456008911, 0.3761274814605713, 0.10105099529027939]",Dies zielt durchaus auch auf den unternehme rischen Erfolg ab. Denn Arbeitgeberattraktivität ist längst keine reine Frage des Gehalts mehr. Talente be
"Die Verantwortung für „Menschen in der Transforma tion“ steht im Zentrum aktueller und zukünftiger Aktivitäten im Personalbereich. Eine Schlüsselrolle spielt die 2021 vom Konzernvorstand verabschiedete Group People Strategy „Transform to Tech“. Im Bereich Weiterbildung liegt das Augenmerk des Volkswagen Konzerns darauf, die Kolleginnen und Kollegen in Zukunfts technologien zu schulen. Dazu gehört eine enge Begleitung im Transformationsprozess.",vage Behauptung,0.741597592830658,"['vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme']","[0.741597592830658, 0.13783447444438934, 0.1205679178237915]",Die Verantwortung für „Menschen in der Transforma tion“ steht im Zentrum aktueller und zukünftiger Aktivitäten im Personalbereich. Eine Schlüsselrolle
Sie sollen den Menschen eine Perspektive geben und in der Transformation eine klare Richtung für den Veränderungsprozess vorgeben. Die Beschäftigungssicherung bis 2029 in der Volkswagen AG gibt den Beschäftigten dabei den notwendigen Rückhalt. Verantwortung gesamtheitlich: die Lieferkette im Blick Neben der Verantwortung für die eigenen Beschäftigten trägt der Volkswagen Konzern auch eine globale Verantwortung.,konkrete Maßnahme,0.7169702649116516,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7169702649116516, 0.19954006373882294, 0.08348968625068665]",Sie sollen den Menschen eine Perspektive geben und in der Transformation eine klare Richtung für den Veränderungsprozess vorgeben. Die Beschäftigungss
"Das Lieferkettensorgfaltspflichtengesetz, seit einem guten Jahr in Deutschland in Kraft, hat hier eine besondere Rolle. Schwerpunkte sind der Schutz der Menschenrechte und die Minimierung umweltbezogener Risiken – beides Themen, mit denen sich der Volkswagen Konzern durch und durch identi fiziert. Eine Komponente bei der Steuerung der Nachhaltigkeit in unseren Lieferketten spielt der Austausch zwischen unseren Marken und Regionen durch das Beschaffungsnetzwerk Nach haltigkeit.",konkrete Maßnahme,0.4078418016433716,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4078418016433716, 0.33069461584091187, 0.26146361231803894]","Das Lieferkettensorgfaltspflichtengesetz, seit einem guten Jahr in Deutschland in Kraft, hat hier eine besondere Rolle. Schwerpunkte sind der Schutz d"
Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette und Menschenrechte GRI 2-22 8 Technologie: der wahre Schlüssel zur Nachhaltigkeit Der Volkswagen Konzern ist seit vielen Jahrzehnten ein Tech nologieunternehmen. Diese Kompetenz werden wir auch in der Nachhaltigkeit nutzen. Denn wir sind überzeugt: Techno logie ist der Schlüssel zu Fortschritten in der Nachhaltigkeits strategie.,vage Behauptung,0.49494972825050354,"['vage Behauptung', 'konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage']","[0.49494972825050354, 0.42139145731925964, 0.08365887403488159]",Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette
"Sehr geehrte Damen und Herren, liebe Kolleginnen und Kollegen, der Volkswagen Konzern steht für Tradition und für starke Marken. Dafür, Entwicklungen voranzutreiben und Herausforderungen zu meistern. Heute befinden wir uns in der größten Transformation der Automobilgeschichte: Wir wollen nachhaltige Mobilität für Generationen ermöglichen. Nachhaltigkeit ist tief im Selbstverständnis des Volkswagen Konzerns verwurzelt. Sie ist fester Bestandteil unserer Konzern strategie.",vage Behauptung,0.589847207069397,"['vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme']","[0.589847207069397, 0.2100931853055954, 0.20005960762500763]","Sehr geehrte Damen und Herren, liebe Kolleginnen und Kollegen, der Volkswagen Konzern steht für Tradition und für starke Marken. Dafür, Entwicklungen "
"Für 2024 setzen wir hier wichtige und zielführende neue Impulse. Der Volkswagen Konzern ist sich seiner Rolle, Bedeutung und Verantwortung bewusst. Gemeinsam werden wir alles dafür tun, unseren wichtigen Beitrag zu leisten – mit Teamgeist, Fairness und Leidenschaft.",vage Behauptung,0.3749866485595703,"['vage Behauptung', 'konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage']","[0.3749866485595703, 0.37307408452033997, 0.2519392967224121]","Für 2024 setzen wir hier wichtige und zielführende neue Impulse. Der Volkswagen Konzern ist sich seiner Rolle, Bedeutung und Verantwortung bewusst. Ge"
"Daniela Cavallo und Oliver Blume Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette und Menschenrechte GRI 2-22 9 Struktur der Berichterstattung Der vorliegende Konzern-Nachhaltigkeitsbericht 2023 ori entiert sich an international etablierten Rahmenwerken und Anforderungen wie zum Beispiel den Standards der Global Reporting Initiative (GRI, siehe auch folgender Abschnitt), dem CSR-Richtlinie-Umsetzungsgesetz (CSR-RUG), ESGNachhaltigkeitsratings (Environmental, Social, Governance) und Erwartungen von Stakeholdern.",fragwürdige Nachhaltigkeitsaussage,0.470941960811615,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.470941960811615, 0.3020085394382477, 0.22704945504665375]",Daniela Cavallo und Oliver Blume Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integr
Der Bericht wird durch eine ausführliche Darstellung der Nachhaltigkeitsaktivitäten der Marken und Regionen sowie der Corporate-CitizenshipProjekte des Volkswagen Konzerns ergänzt.,konkrete Maßnahme,0.4520745873451233,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.4520745873451233, 0.28117918968200684, 0.2667462229728699]",Der Bericht wird durch eine ausführliche Darstellung der Nachhaltigkeitsaktivitäten der Marken und Regionen sowie der Corporate-CitizenshipProjekte de
Unsere Aktivitäten zum Klimaschutz berichten wir er neut entlang der Vorgaben der Task Force on Climate-related Financial Disclosures (TCFD). Darüber hinaus werden die GRI-Standards als Rahmenwerk für die Erstellung des nichtfinanziellen Berichts genutzt. Innerhalb dieses Nachhaltigkeitsberichts legt Volkswagen grundsätzlich die GRI-Standards (unter Bezugnahme) als Rahmenwerk für die Berichterstattung der Managementansätze und der spe zifischen Standardangaben zugrunde.,fragwürdige Nachhaltigkeitsaussage,0.4790402352809906,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.4790402352809906, 0.3257799446582794, 0.1951797753572464]",Unsere Aktivitäten zum Klimaschutz berichten wir er neut entlang der Vorgaben der Task Force on Climate-related Financial Disclosures (TCFD). Darüber 
"Der GRI-Inhaltsindex wird aus dem Nachhaltigkeitsbericht 2023 ausgegliedert und als eigenständiges Dokument im Konzernportal veröffentlicht: www.volkswagen-group.com > Berichte Nachhaltigkeitskommunikation des Volkswagen Konzerns www.volkswagen-group.com > Pressemitteilungen www.volkswagen-group.com > Nachhaltigkeit WEITERE KOMMUNIKATION www.volkswagen-group.com > ESG-Performance & Reporting WEBSITE NACHHALTIGKEITSBERICHT 2023 nichtfinanzieller Bericht 2023 inklusive Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette und Menschenrechte Über den Bericht 10 Qualifizierungsstunden pro Mitarbeiter, Unfallindizes und Unfallkennzahlen sind in den Angaben zum Volkswagen Konzern die chinesischen Joint Ventures enthalten.",fragwürdige Nachhaltigkeitsaussage,0.3551180064678192,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.3551180064678192, 0.3517961800098419, 0.2930857539176941]",Der GRI-Inhaltsindex wird aus dem Nachhaltigkeitsbericht 2023 ausgegliedert und als eigenständiges Dokument im Konzernportal veröffentlicht: www.volks
Risiken des chinesischen Markts werden über die Volkswagen (China) Investment Company Ltd. erfasst. Die dargestellten Kennzahlen führen jene der Vorjahre fort. Wesentliche Änderungen in der Datenerhebung und in den Messverfahren für unsere Nachhaltigkeitsleistungen werden an den jeweiligen Kennzahlen explizit ausgewiesen. Alle Zahlen im Bericht sind jeweils für sich gerundet; dies kann bei der Addition zu geringfügigen Abweichungen führen.,fragwürdige Nachhaltigkeitsaussage,0.4651122987270355,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.4651122987270355, 0.26959601044654846, 0.26529163122177124]",Risiken des chinesischen Markts werden über die Volkswagen (China) Investment Company Ltd. erfasst. Die dargestellten Kennzahlen führen jene der Vorja
"Unser aktueller Fortschrittsbericht ist auf der Website des UN Global Compact einsehbar: United Nations Global Compact Das Strategiekapitel und die sechs folgenden Fokuskapitel des Berichts bestehen je aus einem Textteil sowie einer konsoli dierten Kennzahlentabelle, die am Ende jedes Kapitels steht. Verweise auf Angaben außerhalb des nichtfinanziellen Be richts sind weiterführende Informationen und nicht Bestand teil dieses Berichts.",fragwürdige Nachhaltigkeitsaussage,0.5441874265670776,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.5441874265670776, 0.2281586080789566, 0.22765395045280457]",Unser aktueller Fortschrittsbericht ist auf der Website des UN Global Compact einsehbar: United Nations Global Compact Das Strategiekapitel und die se
Ebenso sind folgende Passagen nicht Bestandteil des nichtfinanziellen Berichts: • Nachhaltigkeitskommunikation des Volkswagen Konzerns (S. 3–4) • Vorwort (S. 6–8) • Der Deutsche Corporate Governance Kodex – Leitlinie für erfolgreiche Unternehmensführung (S. 15) • Weiterführende Informationen und Wertschöpfungskette (S. 16) • Soziale und ökologische Auswirkungen unseres Handelns messbar machen (S. 24) Die Angaben in diesem Bericht beziehen sich auf den ge samten Volkswagen Konzern.,fragwürdige Nachhaltigkeitsaussage,0.6317148208618164,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.6317148208618164, 0.2159915566444397, 0.15229366719722748]",Ebenso sind folgende Passagen nicht Bestandteil des nichtfinanziellen Berichts: • Nachhaltigkeitskommunikation des Volkswagen Konzerns (S. 3–4) • Vorw
"In den Kennzahlen und in den dazugehörigen Zielen bei den Themen Umweltentlastung Produktion (UEP), Dekarbo nisierungsindex (DKI), Stimmungsbarometer, Diversity-Index, GRI 2-2, 2-4, 2-5 Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette und Menschenrechte 11 lässt sich nicht ausschließen, dass aufgrund von zukünftigen Erkenntnissen oder Ereignissen die gebildeten Rückstellungen möglicherweise angepasst werden müssen.",fragwürdige Nachhaltigkeitsaussage,0.7532346844673157,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.7532346844673157, 0.1924491822719574, 0.054316144436597824]","In den Kennzahlen und in den dazugehörigen Zielen bei den Themen Umweltentlastung Produktion (UEP), Dekarbo nisierungsindex (DKI), Stimmungsbarometer,"
"Die übrigen Rückstellungen betreffen eine Vielzahl erkenn barer Einzelrisiken, Preisrisiken und ungewisser Verpflich tungen, die in Höhe ihres wahrscheinlichen Eintritts berück sichtigt werden. Abhängig von der jeweiligen Jurisdiktion sind darin auch Risikovorsorgen für die etwaige Nichteinhaltung von gesetzlichen Emissionsobergrenzen enthalten.",fragwürdige Nachhaltigkeitsaussage,0.44627416133880615,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.44627416133880615, 0.40609124302864075, 0.1476345658302307]","Die übrigen Rückstellungen betreffen eine Vielzahl erkenn barer Einzelrisiken, Preisrisiken und ungewisser Verpflich tungen, die in Höhe ihres wahrsch"
Deren Bewertung erfolgte unter anderem unter Berücksichtigung des jeweiligen Absatzvolumens und der gesetzlich definierten Abgabe beziehungsweise der Kosten für den Erwerb von Emissionsrechten anderer Hersteller. Die Synergien der ein zelnen Marken des Volkswagen Konzerns wurden dabei nach Möglichkeit in Form von Emissionsgemeinschaften genutzt.,fragwürdige Nachhaltigkeitsaussage,0.39414286613464355,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.39414286613464355, 0.3059571087360382, 0.2999000549316406]",Deren Bewertung erfolgte unter anderem unter Berücksichtigung des jeweiligen Absatzvolumens und der gesetzlich definierten Abgabe beziehungsweise der 
Klimaschutzbezogene Begrifflichkeiten Die Verwendung des Begriffs CO2-Emissionen in diesem Be richt schließt die Betrachtung und Ermittlung weiterer klima schädlicher Treibhausgase wie zum Beispiel Methan (CH4) und Lachgas (N2O) mit ein (CO2-Äquivalente). Alle Angaben in diesem Bericht zu CO2-Emissionen entsprechen CO2-Äqui valenten. Dies gilt nicht für die Werte der Flottenemissionen.,konkrete Maßnahme,0.5230391621589661,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5230391621589661, 0.32332926988601685, 0.1536315679550171]",Klimaschutzbezogene Begrifflichkeiten Die Verwendung des Begriffs CO2-Emissionen in diesem Be richt schließt die Betrachtung und Ermittlung weiterer k
"Bilanzielle CO2-Neutralität wird erreicht, wenn anthropogene CO2-Emissionen weltweit durch die Vermeidung, Reduktion und Kompensation über einen spezifischen Zeitraum ausge glichen werden. Beim Klimaschutz achtet Volkswagen neben CO2-Emissionen auch auf alle anderen relevanten Treibhaus gase. Für den Volkswagen Konzern haben Vermeidung und Reduktion Priorität gegenüber Kompensation. Für Maßnahmen der Kompensation folgt das Unternehmen international etablierten Standards.",konkrete Maßnahme,0.40040323138237,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.40040323138237, 0.3406541347503662, 0.2589426040649414]","Bilanzielle CO2-Neutralität wird erreicht, wenn anthropogene CO2-Emissionen weltweit durch die Vermeidung, Reduktion und Kompensation über einen spezi"
"Redaktionelle Hinweise Aufgrund der besseren Lesbarkeit sprechen wir im nichtfinan ziellen Bericht durchgängig von Mitarbeitern. Damit sind selbstverständlich alle Geschlechter gleichermaßen ange sprochen. Gleiches gilt auch für ähnliche Begriffe wie Teil nehmer, Vertreter, Lieferant etc. Ist im vorliegenden Bericht von Nachhaltigkeitsbericht die Rede, so schließt dieser Ausdruck bei jeder Nennung den nichtfinan ziellen Bericht in dem auf S. 10 beschriebenen Umfang mit ein.",konkrete Maßnahme,0.47234007716178894,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.47234007716178894, 0.31697458028793335, 0.21068531274795532]",Redaktionelle Hinweise Aufgrund der besseren Lesbarkeit sprechen wir im nichtfinan ziellen Bericht durchgängig von Mitarbeitern. Damit sind selbstvers
Berichtspraxis Der nichtfinanzielle Bericht erscheint jährlich. Der letzte nichtfinanzielle Bericht wurde am 12. März 2023 veröffent licht. Der vorliegende nichtfinanzielle Bericht 2023 enthält neben den Nachhaltigkeitsaktivitäten des Konzerns im Ge schäftsjahr 2023 (1. Januar bis 31. Dezember 2023) auch ausgewählte Informationen aus dem Geschäftsjahr 2024. Über den Bericht Redaktionsschluss dieses Berichts war der 14. Februar 2024.,fragwürdige Nachhaltigkeitsaussage,0.4799940884113312,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.4799940884113312, 0.2942638695240021, 0.22574207186698914]",Berichtspraxis Der nichtfinanzielle Bericht erscheint jährlich. Der letzte nichtfinanzielle Bericht wurde am 12. März 2023 veröffent licht. Der vorlie
Der Konzern-Nachhaltigkeitsbericht wird im ersten Quartal 2024 veröffentlicht und liegt ebenfalls in englischer Über setzung vor. Bei Abweichungen geht die deutsche maßgeb liche Fassung des Dokuments der englischen Übersetzung vor. Rechtliche Hinweise Dieser Nachhaltigkeitsbericht enthält Aussagen zum künftigen Geschäftsverlauf des Volkswagen Konzerns.,konkrete Maßnahme,0.3996400833129883,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.3996400833129883, 0.37633776664733887, 0.22402210533618927]",Der Konzern-Nachhaltigkeitsbericht wird im ersten Quartal 2024 veröffentlicht und liegt ebenfalls in englischer Über setzung vor. Bei Abweichungen geh
